source_name,source_link,event_id,event_date,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,dataset_source,original_event_date,event_date_standardized,event_date_only,original_latitude,original_longitude,latitude_standardized,longitude_standardized,coordinates_valid,latitude_compare,longitude_compare,date_compare,master_id,record_type,event_year,event_month,date_precision,state,district,location_name,initiation_year,triggering_factor,material_type,movement_type,activity,landslide_area,persons_death,source,source_event_id,source_record_url,source_records,source_count,coordinate_source,coordinate_inherited,match_confidence,data_quality,dedup_key,duplicate_group_id,is_duplicate,duplicate_of,notes
Telegraph India,https://www.telegraphindia.com/1090707/jsp/siliguri/story_11202557.jsp,1061.0,7/1/2009 5:40,Bridge destroyed at 4th Mile,Landslides triggered by heavy rains hit an iron bridge on the North Sikkim Highway over Bar Khola at 4th Mile at around 5:40 am.,"4th Mile, Lower Mangshila in North Sikkim",1km,landslide,downpour,medium,unknown,0.0,0.0,glc,1061.0,India,IN,,1464.0,Mangan,3.541,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,88.527,27.478,India_Media_Catalog,7/1/2009 5:40,2009-07-01 05:40:00,2009-07-01,27.478,88.527,27.478,88.527,True,27.478,88.527,2009-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-Pao,http://www.e-pao.net/GP.asp?src=28..210810.aug10,2164.0,7/29/2010 23:00,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur","Since the Chingai-Quingai road has been sunk due to landslides at various points following heavy rainfall that occured twice during the past 20 days, nearly 5,000 villagers of five villages in the sub-division are facing the alarming possibility of starvation.  The road from Chingai to Quingai in Chingai sub-division of Ukhrul district connects Quingai, Chalou, New Tasom, Tasom CV and Tasom Khullen villages.  However, the road has been disconnected in various places due to heavy rainfall that occurred on the night between July 29 and 30 and again on the night of August 15 .  According to Secretary, Information and Publicity, Northern Raphei Students' Union (NRSU), HAS Thuingaleng, nearly 5,000 villagers of the said villages have been facing extreme hardship.  The wooden bridge over Rondei river had been washed away by the powerful current of the river disconnecting the road.  Moreover, landslides have occurred completely blocking the road at different places.  However, due to the heavy","Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25km,landslide,downpour,medium,unknown,0.0,0.0,glc,2164.0,India,IN,Manipur,15118.0,Phek,39.51186,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,94.48214677,25.3098633,India_Media_Catalog,7/29/2010 23:00,2010-07-29 23:00:00,2010-07-29,25.3098633,94.48214677,25.3098633,94.48214677,True,25.31,94.482,2010-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindustan Times,http://www.hindustantimes.com/india/flash-floods-and-landslides-kill-21-in-sikkim/story-4FYliiSqiH1MnwaoLBIUnO.html,4569.0,9/19/2012 0:00,"North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)","At least twenty one bodies, including those of the Indo-Tibetan Border Police (ITBP) and the Border Roads Organisation (BRO) personnel, have so far been found while eight persons are still missing due to flash flood and landslides in remote areas of North Sikkim, official sources said  The dead include four from the ITBP, two of their family members, and 12 junior officers from the BRO. Other victims were casual labourers, officials said.Most of the casualties are reported from Rangma range.Landslides were caused by heavy rains since September 19, Deputy Commissioner North district T W Khangsherpa said.There were about nine landslides blocking the main road between Chungthang and Mangan in the district, he said.","North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)",10km,landslide,downpour,large,unknown,20.0,0.0,glc,4569.0,India,IN,,1464.0,Mangan,36.59477,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,88.556,27.8385,India_Media_Catalog,9/19/2012 0:00,2012-09-19 00:00:00,2012-09-19,27.8385,88.556,27.8385,88.556,True,27.838,88.556,2012-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindustan Times,http://www.hindustantimes.com/india/flash-floods-and-landslides-kill-21-in-sikkim/story-4FYliiSqiH1MnwaoLBIUnO.html,4571.0,9/19/2012 0:00," Chungthang and Pegong. Houses, between Rangma and Chungthang ","At least twenty one bodies, including those of the Indo-Tibetan Border Police (ITBP) and the Border Roads Organisation (BRO) personnel, have so far been found while eight persons are still missing due to flash flood and landslides in remote areas of North Sikkim, official sources said  The dead include four from the ITBP, two of their family members, and 12 junior officers from the BRO. Other victims were casual labourers, officials said.Most of the casualties are reported from Rangma range.Landslides were caused by heavy rains since September 19, Deputy Commissioner North district T W Khangsherpa said.There were about nine landslides blocking the main road between Chungthang and Mangan in the district, he said. Several landslides blocked the main roads between Chungthang and Pegong. Houses along Lachen river between Rangma and Chungthang were washed away in flash floods along Lachen river."," Chungthang and Pegong. Houses, between Rangma and Chungthang ",10km,landslide,downpour,large,unknown,0.0,0.0,glc,4571.0,India,IN,,1464.0,Mangan,18.14812,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,88.605,27.6558,India_Media_Catalog,9/19/2012 0:00,2012-09-19 00:00:00,2012-09-19,27.6558,88.605,27.6558,88.605,True,27.656,88.605,2012-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hindu,http://www.thehindu.com/news/national/other-states/fresh-mudslides-affect-traffic-in-nagalandmanipur/article4928261.ece,5122.0,7/17/2013 0:00,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",Fresh mudslides were reported in some parts of Nagaland affecting the vehicular movements in Nagaland and Manipur. The mudslides had buried some portions of highways 2 and 29 on Tuesday. An 80 metre long breach at NH 2 near Kohima has disrupted all vehicular movements cutting off Manipur. Officials said that most of the debris were cleared by Wednesday night and vehicular movement restored. There will be free flow of traffic unless there is fresh rain.,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",50km,mudslide,rain,medium,unknown,0.0,0.0,glc,5122.0,India,IN,Nāgāland,92113.0,Kohima,19.79639,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,93.9413,25.7658,India_Media_Catalog,7/17/2013 0:00,2013-07-17 00:00:00,2013-07-17,25.7658,93.9413,25.7658,93.9413,True,25.766,93.941,2013-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hindu,http://www.thehindu.com/news/national/other-states/fresh-mudslides-affect-traffic-in-nagalandmanipur/article4928261.ece,5123.0,7/17/2013 0:00,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",Fresh mudslides were reported in some parts of Nagaland affecting the vehicular movements in Nagaland and Manipur. The mudslides had buried some portions of highways 2 and 29 on Tuesday. An 80 metre long breach at NH 2 near Kohima has disrupted all vehicular movements cutting off Manipur. Officials said that most of the debris were cleared by Wednesday night and vehicular movement restored. There will be free flow of traffic unless there is fresh rain.,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",50km,mudslide,rain,medium,unknown,0.0,0.0,glc,5123.0,India,IN,Nāgāland,92113.0,Kohima,4.81849,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,94.0885,25.7131,India_Media_Catalog,7/17/2013 0:00,2013-07-17 00:00:00,2013-07-17,25.7131,94.0885,25.7131,94.0885,True,25.713,94.088,2013-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PAO,http://e-pao.net/GP.asp?src=21..020815.aug15,7370.0,8/1/2015 0:00,between Moltuk to New Songjang village,one landslide between Moltuk to New Songjang village,between Moltuk to New Songjang village,5km,landslide,continuous_rain,medium,above_road,0.0,0.0,glc,7370.0,India,IN,Manipur,30418.0,Kakching,41.50847,11/21/2015 1:04,11/20/2017 15:17,2/15/2018 15:51,94.1078,24.1419,India_Media_Catalog,8/1/2015 0:00,2015-08-01 00:00:00,2015-08-01,24.1419,94.1078,24.1419,94.1078,True,24.142,94.108,2015-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.assamtribune.com,http://www.assamtribune.com/scripts/detailsnew.asp?id=jul1613/oth06,5084.0,7/12/2013 23:00,"National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagaland","Inter-State bus services in Manipur have been suspended for the past three days following the landslide on the National Highway near Kohima on Friday night. A 200 feet stretch of National Highway (NH 2) near Phesama village close to Kisama Naha heritage site in NagalandÕs Kohima district which connects Manipur with the rest of the country, has been washed away following heavy downpour on July 12 night.","National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagaland",10km,landslide,downpour,medium,unknown,0.0,0.0,glc,5084.0,India,IN,Nāgāland,92113.0,Kohima,6.5252,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,94.1167,25.616,India_Media_Catalog,7/12/2013 23:00,2013-07-12 23:00:00,2013-07-12,25.616,94.1167,25.616,94.1167,True,25.616,94.117,2013-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e-pao.net,http://e-pao.net/GP.asp?src=23..111010.oct10,2566.0,10/8/2010 0:00,"Sahong, Tabu and Pani village under Tadubi police station of Senapati district, NH-39","Unable to negotiate muddy steep portions on NH-39, over 200 Imphal bound freight trucks including inter-state passenger buses coming from Dimapur side were stranded at Mao area, official reports received here said. A report from Mao police, confirming the report said that the vehicles were stranded as mud brought down by streams piled up on the highway at Sahong village and its nearby areas where minor landslides occurred two days back. Reports said that due to heavy shower in the last few days, landslides occurred at Sahong, Tabu and Pani village under Tadubi police station of Senapati district. The landslides had been cleared but huge masses of mud brought down by the streams have affected the traffic movement.","Sahong, Tabu and Pani village under Tadubi police station of Senapati district, NH-39",5km,mudslide,downpour,medium,unknown,0.0,0.0,glc,2566.0,India,IN,Nāgāland,92113.0,Kohima,22.04313,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,94.1351,25.4769,India_Media_Catalog,10/8/2010 0:00,2010-10-08 00:00:00,2010-10-08,25.4769,94.1351,25.4769,94.1351,True,25.477,94.135,2010-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prokerala,http://www.prokerala.com/news/articles/a75292.html,1109.0,8/20/2009 0:00,Lumding-Badarpur section in North Cachar Hills district,"The rail services between rest of India and southern Assam, Tripura, Mizoram and Manipur have been suspended since Aug 20 following extensive landslides on the Lumding-Badarpur section in North Cachar Hills district",Lumding-Badarpur section in North Cachar Hills district,25km,landslide,downpour,medium,unknown,0.0,0.0,glc,1109.0,India,IN,Assam,8364.0,Maibong,24.54328,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,93.1645,25.5215,India_Media_Catalog,8/20/2009 0:00,2009-08-20 00:00:00,2009-08-20,25.5215,93.1645,25.5215,93.1645,True,25.522,93.164,2009-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
